Features: 16,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),
"Nu: 0.99, Gamma: 0.1",95013,82,0,0,99.91377044008622,
"Nu: 0.99, Gamma: 0.2",95013,82,0,0,99.91377044008622,
"Nu: 0.99, Gamma: 0.5",95013,82,0,0,99.91377044008622,
"Nu: 0.99, Gamma: 0.7",95013,82,0,0,99.91377044008622,
"Nu: 0.99, Gamma: 0.9",95013,82,0,0,99.91377044008622,
"Nu: 0.99, Gamma: 0.99",95013,82,0,0,99.91377044008622,
,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",94045,151,232,5,99.59442144165705,
"Nu: 0.05, Gamma: 0.0625",94045,151,232,5,99.59442144165705,
"Nu: 0.05, Gamma: 0.1",94045,151,232,5,99.59442144165705,
"Nu: 0.05, Gamma: 0.2",94045,151,232,5,99.59442144165705,
"Nu: 0.05, Gamma: 0.5",94045,151,232,5,99.59442144165705,
"Nu: 0.05, Gamma: 0.7",94045,151,232,5,99.59442144165705,
"Nu: 0.05, Gamma: 0.9",94045,151,232,5,99.59442144165705,
"Nu: 0.05, Gamma: 0.99",94045,151,232,5,99.59442144165705,
"Nu: 0.0625, Gamma: 0.05",94045,151,232,5,99.59442144165705,
"Nu: 0.0625, Gamma: 0.0625",94045,151,232,5,99.59442144165705,
"Nu: 0.0625, Gamma: 0.1",94277,156,0,0,99.83480351148434,
"Nu: 0.0625, Gamma: 0.2",94045,151,232,5,99.59442144165705,
"Nu: 0.0625, Gamma: 0.5",94045,151,232,5,99.59442144165705,
"Nu: 0.0625, Gamma: 0.7",94045,151,232,5,99.59442144165705,
"Nu: 0.0625, Gamma: 0.9",94045,151,232,5,99.59442144165705,
"Nu: 0.0625, Gamma: 0.99",94045,151,232,5,99.59442144165705,
"Nu: 0.1, Gamma: 0.05",94277,156,0,0,99.83480351148434,
"Nu: 0.1, Gamma: 0.0625",94045,151,232,5,99.59442144165705,
"Nu: 0.1, Gamma: 0.1",94045,151,232,5,99.59442144165705,
"Nu: 0.1, Gamma: 0.2",94277,156,0,0,99.83480351148434,
"Nu: 0.1, Gamma: 0.5",94045,151,232,5,99.59442144165705,
"Nu: 0.1, Gamma: 0.7",94045,151,232,5,99.59442144165705,
"Nu: 0.1, Gamma: 0.9",94045,151,232,5,99.59442144165705,
"Nu: 0.1, Gamma: 0.99",94045,151,232,5,99.59442144165705,
"Nu: 0.2, Gamma: 0.05",94045,151,232,5,99.59442144165705,
"Nu: 0.2, Gamma: 0.0625",94045,151,232,5,99.59442144165705,
"Nu: 0.2, Gamma: 0.1",94277,156,0,0,99.83480351148434,
"Nu: 0.2, Gamma: 0.2",94045,151,232,5,99.59442144165705,
"Nu: 0.2, Gamma: 0.5",94277,156,0,0,99.83480351148434,
"Nu: 0.2, Gamma: 0.7",94277,156,0,0,99.83480351148434,
"Nu: 0.2, Gamma: 0.9",94277,156,0,0,99.83480351148434,
"Nu: 0.2, Gamma: 0.99",94277,156,0,0,99.83480351148434,
"Nu: 0.5, Gamma: 0.05",94277,156,0,0,99.83480351148434,
